config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,peak_rss_bytes,peak_rss_mib,dense_block_table_bytes,dense_copies_live_in_this_group,batched_stack_bytes_worst_class,alpha_chart_bytes,batched_alpha_r_bytes,fast_cumulative_bytes,predicted_arrays_total_bytes,predicted_process_rss_bytes,projected_banded_bytes_NOT_IMPLEMENTED,projected_banded_saving_ratio_NOT_IMPLEMENTED,swap_used_mb
K/N32_J128_K40_A20_D12_full_s20260822,K,K_40,32,128,40,20,3,12,full,primitives,main,20260822,642535424,612.77,169082880,1,169082880,1320960,2641920,15482880,357611520,588298240,12902400,13.104761904761904,1531.38
K/N32_J128_K5_A20_D12_full_s20260822,K,K_5,32,128,5,20,3,12,full,build,main,20260822,264278016,252.04,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
K/N32_J128_K5_A20_D12_full_s20260822,K,K_5,32,128,5,20,3,12,full,cond,main,20260822,387940352,369.97,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
K/N32_J128_K5_A20_D12_full_s20260822,K,K_5,32,128,5,20,3,12,full,marg,main,20260822,383283200,365.53,21135360,2,21135360,165120,330240,1935360,65836800,296523520,1612800,13.104761904761904,1563.38
K/N32_J128_K5_A20_D12_full_s20260822,K,K_5,32,128,5,20,3,12,full,primitives,main,20260822,244879360,233.54,21135360,1,21135360,165120,330240,1935360,44701440,275388160,1612800,13.104761904761904,1563.38
K/N32_J128_K80_A20_D12_full_s20260822,K,K_80,32,128,80,20,3,12,full,build,main,20260822,663113728,632.39,338165760,1,338165760,2641920,5283840,30965760,715223040,945909760,25804800,13.104761904761904,1531.38
K/N32_J128_K80_A20_D12_full_s20260822,K,K_80,32,128,80,20,3,12,full,cond,main,20260822,2408579072,2297.0,338165760,2,338165760,2641920,5283840,30965760,1053388800,1284075520,25804800,13.104761904761904,1531.38
K/N32_J128_K80_A20_D12_full_s20260822,K,K_80,32,128,80,20,3,12,full,marg,main,20260822,2414452736,2302.6,338165760,2,338165760,2641920,5283840,30965760,1053388800,1284075520,25804800,13.104761904761904,1531.38
K/N32_J128_K80_A20_D12_full_s20260822,K,K_80,32,128,80,20,3,12,full,primitives,main,20260822,996995072,950.81,338165760,1,338165760,2641920,5283840,30965760,715223040,945909760,25804800,13.104761904761904,1531.38
N/N128_J128_K10_A20_D12_full_s20260822,N,N_128,128,128,10,20,3,12,full,build,main,20260822,543047680,517.89,169082880,1,169082880,1320960,2641920,15482880,357611520,588298240,12902400,13.104761904761904,1531.38
N/N128_J128_K10_A20_D12_full_s20260822,N,N_128,128,128,10,20,3,12,full,cond,main,20260822,1569648640,1496.93,169082880,2,169082880,1320960,2641920,15482880,526694400,757381120,12902400,13.104761904761904,1531.38
N/N128_J128_K10_A20_D12_full_s20260822,N,N_128,128,128,10,20,3,12,full,marg,main,20260822,1571893248,1499.07,169082880,2,169082880,1320960,2641920,15482880,526694400,757381120,12902400,13.104761904761904,1531.38
N/N128_J128_K10_A20_D12_full_s20260822,N,N_128,128,128,10,20,3,12,full,primitives,main,20260822,692613120,660.53,169082880,1,169082880,1320960,2641920,15482880,357611520,588298240,12902400,13.104761904761904,1531.38
